Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-10 10:45:00+08:00,26333.380859375,26346.83984375,26328.400390625,26340.689453125,26340.689453125,0,NO_PATTERN,0.0,None
2021-08-10 10:50:00+08:00,26336.279296875,26406.140625,26329.5703125,26403.240234375,26403.240234375,0,CDLCLOSINGMARUBOZU_Bull,1.0,Buy
2021-08-10 10:55:00+08:00,26404.869140625,26416.259765625,26386.630859375,26390.5,26390.5,0,NO_PATTERN,0.0,None
2021-08-10 11:00:00+08:00,26387.470703125,26398.19921875,26355.880859375,26364.150390625,26364.150390625,0,NO_PATTERN,0.0,None
2021-08-10 11:05:00+08:00,26362.109375,26380.759765625,26332.25,26344.189453125,26344.189453125,0,NO_PATTERN,0.0,None
2021-08-10 11:10:00+08:00,26338.869140625,26359.1796875,26329.669921875,26354.390625,26354.390625,0,NO_PATTERN,0.0,None
2021-08-10 11:15:00+08:00,26354.310546875,26403.0390625,26349.4296875,26374.23046875,26374.23046875,0,NO_PATTERN,0.0,None
2021-08-10 11:20:00+08:00,26373.390625,26375.880859375,26321.580078125,26323.640625,26323.640625,0,CDLCLOSINGMARUBOZU_Bear,3.0,Sell
2021-08-10 11:25:00+08:00,26326.08984375,26335.4609375,26307.189453125,26324.669921875,26324.669921875,0,CDLMATCHINGLOW_Bull,9.0,Buy
2021-08-10 11:30:00+08:00,26325.619140625,26373.0390625,26322.4296875,26367.330078125,26367.330078125,0,CDLSEPARATINGLINES_Bull,2.0,Buy
2021-08-10 11:35:00+08:00,26367.19921875,26378.150390625,26351.689453125,26354.0,26354.0,0,CDLHARAMI_Bear,1.0,Sell
2021-08-10 11:40:00+08:00,26352.880859375,26374.25,26347.25,26368.630859375,26368.630859375,0,CDLENGULFING_Bull,1.0,Buy
2021-08-10 11:45:00+08:00,26368.330078125,26373.7109375,26347.76953125,26352.23046875,26352.23046875,0,NO_PATTERN,0.0,None
2021-08-10 11:50:00+08:00,26353.5390625,26374.109375,26353.5390625,26366.7890625,26366.7890625,0,CDLHIKKAKE_Bear,1.0,Sell
2021-08-10 11:55:00+08:00,26366.529296875,26372.650390625,26354.69921875,26359.439453125,26359.439453125,0,NO_PATTERN,0.0,None
2021-08-10 12:00:00+08:00,26359.720703125,26359.720703125,26359.720703125,26359.720703125,26359.720703125,0,CDLDOJI_Bull,1.0,Buy
2021-08-10 13:00:00+08:00,26374.529296875,26392.880859375,26360.0,26392.880859375,26392.880859375,0,CDLCLOSINGMARUBOZU_Bull,2.0,Buy
2021-08-10 13:05:00+08:00,26390.26953125,26430.580078125,26389.9609375,26423.75,26423.75,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-10 13:10:00+08:00,26423.060546875,26423.060546875,26383.44921875,26413.119140625,26413.119140625,0,CDLHARAMI_Bear,1.0,Sell
2021-08-10 13:15:00+08:00,26413.26953125,26415.94921875,26388.099609375,26401.669921875,26401.669921875,0,NO_PATTERN,0.0,None
2021-08-10 13:20:00+08:00,26398.4609375,26412.580078125,26398.330078125,26403.259765625,26403.259765625,0,NO_PATTERN,0.0,None
2021-08-10 13:25:00+08:00,26405.330078125,26416.5390625,26397.3203125,26411.740234375,26411.740234375,0,NO_PATTERN,0.0,None
2021-08-10 13:30:00+08:00,26409.490234375,26430.609375,26409.490234375,26425.94921875,26425.94921875,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-10 13:35:00+08:00,26427.080078125,26456.720703125,26414.310546875,26443.640625,26443.640625,0,NO_PATTERN,0.0,None
2021-08-10 13:40:00+08:00,26445.359375,26504.359375,26439.30078125,26502.990234375,26502.990234375,0,CDLCLOSINGMARUBOZU_Bull,1.0,Buy
2021-08-10 13:45:00+08:00,26504.4296875,26510.509765625,26486.640625,26497.119140625,26497.119140625,0,NO_PATTERN,0.0,None
2021-08-10 13:50:00+08:00,26498.26953125,26501.380859375,26464.529296875,26481.01953125,26481.01953125,0,NO_PATTERN,0.0,None
2021-08-10 13:55:00+08:00,26479.130859375,26485.609375,26454.05078125,26475.029296875,26475.029296875,0,CDLSPINNINGTOP_Bear,1.0,Sell
